Description,groupTreatment
"נושא: פתיחת יוזר - נעמה יוסקוביץ שלום רב, מצ""ב טפסי יוזר + סיווג בטחוני של נעמה יוסקוביץ. מנהל ישיר – רוחמה אלגרבלי . אודה לפתיחת יוזר ומענה במייל חוזר לאורטל ולי. תודה רבה,    [cid:image011.png 01...",צוות טכנאים
נושא: לא מצליחה לפתוח קבצים היי אני לא מצליחה לפתוח קבצים כמו שצריך מהמחשב במשרד – בעיקר PDF נפתחים לי רק דפים ריקים והכל נתקע...  ,7878 מרכז שירות ותמיכה טכנולוגית
"שלום רב,   מבקשת להוסיף לספר כתובות את:   שני קיקוביץ  מכון בקרת הבניה הישראלי Shanee.Kibovich@bakara.milgam.co.il  עדכנו אותי שבוצע.  ",צוות טכנאים
"נושא: תכנית 604-0190652   פורטה דל סול אשקלון   שלום רב,  התכנית בפרה רולינג – אני לא יכול להעביר מפתח. אודה שתעבירו מפתח לעורך התכנית בבקשה.  בברכה,   בברכה,  [cid:image001.jpg 01D7BB8D.52C69D90] ...",7878 מרכז שירות ותמיכה טכנולוגית
לקוחה הפיקה מסמך פרוטוקול ומעמוד 20 והלאה לא נשלף לקובץ בכותרת התאריך והמספור של הדפים,צוות הדרכה והטמעה אפליקטיבי
נושא: Case CS0168204 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: שינוי סיווג תכנית  שלום רב, אודה לשינוי סיווג התכנית 263-0966887 לתכנית מתאר מקומית  בברכה, כהן דולי ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: הNORMAL עודכן על ידי יונס. יכולים להריץ שוב? בימי שלישי?   [cid:image001.jpg 01D7BDAC.7FC43A70]  ,צוות תשתיות/סיסטם
"נושא: 303-0727495 - כרם מאה""ל תוכנית מאומצת ולא ניתן לפתוח שלב 1050 מבלי לעשות בדיקה 109 כשהבדיקה נעשתה. אנחנו בשלב של אישור תכנית, עברנו שלב בדיקה 109 ",צוות הדרכה והטמעה אפליקטיבי
הדרכה לחיבור המרוחק בפעם הראשונה,צוות טכנאים
נושא: קריאה בנוגע להתחברות מרחוק   נשלח מ- Sigal Goldenberg   מכתובת מייל: sigalnir33@gmail.com הי גל בהמשך לשיחתנו זו ההודעה שאני מקבלת לעיתים בערב מהבית שמונע ממני להתחבר זה קרה לי כבר כמה פעמים ...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: סיגל ניר - יש לבדוק ולהעביר אותה לעבוד בטרמינל. היא מתלוננת על עבודה איטית בARC   [cid:image001.jpg 01D7BDB5.68552620]  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בעיה בפנקודים קומה 7 + קומה 4  בוקר טוב, הפנקודים בקומה 7 ובקומה 4 תקולים, אנשים לא מצליחים להתקשר מבחוץ כדי שנפתח להם את הדלתות מבפנים ואנחנו צריכים לקום כדי לפתוח את הדלתות. אודה לעזרתכם בש...",צוות טכנאים
"נושא: תקלה בקו הטלפון  שלום רב, פנו אלי בשבוע שעבר מחברת הטלפונים החיצונית, ומסרו שניתן לפתור את הבעיה המול איש המחשוב של היחידה. עד לרגע זה עדיין אין לי קו חיצוני לשיחות יוצאות ונכנסות, האם יש צפי...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: צריכה בבקשה קורא כרטיסים תודה  [cid:image005.jpg 01D70A0B.3572C130]  ,צוות טכנאים
"נושא: מבקש התקנה של ArcGIS PRO   [cid:image011.png 01D5627F.46ED1990] תמיר נוף מנהל פרוייקטים GIS 054-7559349 אגף בכיר טכנולוגיות דיגטיליות ומידע 074-7578385 בית הדפוס 12, ירושלים TamirN iplan.gov....",7878 מרכז שירות ותמיכה טכנולוגית
אבקש את עזרתכם עם חיבור מרחוק למחשב נייד חדש. ווינדוס 10 - ניתן להסיר התקנה של מקאפי  074-7697352 ShiriLe iplan.gov.il<mailto:ShiriLe iplan.gov.il>                        אתר מינהל התכנון -  http:/...,צוות טכנאים
"נושא: טכנאי לועדות מחר - אולם שקמה   היי,  מחר יתקיימו באולם שקמה 3 ועדות בין השעות: 8:15-14:30  אבקש טכנאי לסיוע במידת הצורך לשעה 8:00  תודה    בברכה,  [1]  ",צוות טכנאים
"נושא: ה- wifi של מנהל התכנון נפל בלשכת התכנון ת""א   [לכידה] הועדה המחוזית לתכנון ובנייה מחוז תל אביב<https://www.gov.il/he/departments/topics/district_committee_telaviv>  ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0168540   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
ma056480 נושא: ממי אני צריך לבקש אישור להיות administrator על המחשב שלי - כי אני גם כותב קוד?   [cid:image011.png 01D5627F.46ED1990] תמיר נוף מנהל פרוייקטים GIS 054-7559349 אגף בכיר טכנולוגיות דיגט...,תקשורת ואבטחת מידע
נושא: עידכון Visual Studio 2019 Pro - צריך חשבון Administrator בשביל להפעיל אותו   [cid:image011.png 01D5627F.46ED1990] תמיר נוף מנהל פרוייקטים GIS 054-7559349 אגף בכיר טכנולוגיות דיגטיליות ומידע 0...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: הקמת משתמש - ליה כהן מחוז דרום   הרשאות: דורון אזוט תפקיד: סטודנטית,צוות טכנאים
נושא: Case CS0168540 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: פתיחת יוזר   אבקש לפתוח יוזר לאשר - רכז ועדת ערר תל אביב   לתת הרשאות כמו שיש לאילנית מלניק  תודה רבה  ממונה ישיר יפית כרפסי    -----Original Message----- From: scanner iplan.gov.il <scanner ...,צוות טכנאים
 שינוי שלוחה 8395 לשלוחה 7564 שינוי שם ל- חגית אלפסי חיבור לגאבר chagital mac: 501CB00D76FC,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: יוזרים לסהר ואשר- דחוף תודה  העובדים הר""מ סיימו  בדיקת הביטחון וקיבלו הכשר כלהלן:  שם העובד             ת.ז             רמה   תאריך קבלה סהר עוזרי                 211511944    5        03...",צוות טכנאים
"נושא:  רק הטופס של סהר לטיפולכם  [יפיתוש]  From: יפית כרפסי Sent: Sunday, October 10, 2021 11:09 AM To: 7878 מרכז שירות ותמיכה טכנולוגית‏ <7878 iplan.gov.il> Subject: FW: יוזרים לסהר ואשר- דחוף תוד...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0168598   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: התקנת חיבור מרחוק במחשב ZOOM במחוז תל אביב שלום רב אשמח אם תוכלו להתקין חיבור מרחוק במחשב ZOOM במחוז תל אביב, לבקשת גל קארו. המטרה שיוכלו גם להציג תכנים מהרשת על גבי מחשב ZOOM שמשמש להקלטת די...",צוות טכנאים
נושא: Case CS0168598 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: תכנית 423-0496240 שכונת גל עמל הוד השרון שלום רב, מבקש להעביר את התכנית לשלב הפרה רולינג, ידוע כי ההסטוריה של התכנית נמחקת.   בברכה,  [חתימה למייל] בקרו אותנו באתר - http://www.iplan.gov.il<h...",צוות הדרכה והטמעה אפליקטיבי
נושא: הרשאות עריכה ביומן תמיכה פנים ארגוני שלום אשמח אם תוכלו להגביל את הרשאות העריכה ביומן התמיכה פנים ארגוני ולהשאיר הרשאות לרשימת אנשים הבאים בלבד: אלה עמית אלי מילכה אודליה טניה דודו  תודה!  [c...,צוות טכנאים
נושא:  שלום לא מצליח להחתים תוכנית 205-0438762 ,צוות הדרכה והטמעה אפליקטיבי
נושא: לא מצליחה להפעיל את jabberף תודה רבה על העזרה ,7878 מרכז שירות ותמיכה טכנולוגית
מבקש לדעת האם חלונות קופצים מאופשרים בדפדפן כרום,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בעיה בכניסה לדוח נוכחות  שלום, אינני מצליחה להיכנס לדוח נוכחות במערכת מרכבה. אשמח לעזרה. ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: תקלה במרכבה שלום זה הודעה שאני מקבל במרכבה שיש להזין שם משתמש וסיסמא,7878 מרכז שירות ותמיכה טכנולוגית
נושא:  שלום אפשר להבעיר מסמכות מקומית למחוזית 251-0849141  [,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בעיה בחיבור למדפסת NET 40Q- לא מקוון   בברכה, [cid:image001.png 01D7BDDF.41765630] חדש! שאלות ותשובות מעודכנות בנושא תכנון זמין (מבא""ת)<https://www.gov.il/he/Departments/faq/faq_mavat>  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: 101-0950279 תוספת זכויות בנייה לבית כנסת ברח' מאיר בלבן 33, ירושלים נא לתקן סוג תכנית: תכנית מתאר מקומית   בברכה,  [cid:image011.png 01D5627F.46ED1990] עמי חממי יועץ תכנוני לשכת התכנון מחוז י...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: פתיחת ישיבה נעולה מנחם שלום,  לצורך העלאת תמלול ועדה לאתר אבקש לפתוח את ישיבת ההתנגדויות שהתקיימה בתאריך 25/02/2020 קוד : 20 - ועדת משנה להתנגדויות - מספר ישיבה 2020005",צוות הדרכה והטמעה אפליקטיבי
"נושא: דחוף - תיקון מספר תכנית  שלום רב  נפלה טעות בקליטת ישות כללית במקום עתמ/ 21/ 10/ 196663 צריך להיות  - עתמ/ 21/ 10/ 19663  אני לא מצליחה לתקן. מצ""ב צילום מסך ",צוות הדרכה והטמעה אפליקטיבי
"נושא: ארכובים במרכבה צהריים טובים,  האם אני יכולה לארכב קבצי JPG  שנשלחו לי למייל?     1.  אם כן, האם זה צריך להיות קובץ קובץ? או שניתן כמה קבצים ביחד?   2.  ניסיתי לעשות זאת בצורה הבאה:  רשמתי את ...",7878 מרכז שירות ותמיכה טכנולוגית
תיעוד טפסים - אישור מהלקוחה לכניסה למחשב שלה ולמיילים ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: העברת תכניות לשלב פרה רולינג מבקש להעביר את התכנית הבאה  לשלב פרה רולינג 424-0395004    בברכה,  [חתימה למייל] בקרו אותנו באתר - http://www.iplan.gov.il<http://www.iplan.gov.il/Pages/HomePage....",צוות הדרכה והטמעה אפליקטיבי
"נושא: מעקב ובקרה  שלום רב,  לא מצליח להיכנס לעדכן בשלבים. שם תכנית : תממ/ 2/ 9/ 30 לא מצליח לפתוח את שלב 1040 ולא מצליח ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: העתקת תיקייה ומתן הרשאות שלום  אבקש להעתיק את התקייה הנל –  ""M:\אגף בכיר טכנולוגיות דיגיטליות ומידע\קורות חיים למשרת סטודנט 10.2021""  למיקום הבא -  M:\אגף בכיר טכנולוגיות דיגיטליות ומידע\חטיב...",צוות תשתיות/סיסטם
"נושא: בעיה בחיבור למשרד מנסה להתחבר למשרד ממחשב נייד אך המחשב לא מציג שום אייקון לכן לא יכולה ללחוץ על חיבור למשרד. כמו כן יש בעיה במגעים של  המטען, האם יש אפשרות לקבל מטען חדש? ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: מסך נעילה ארגוני שלום רב מילכה גרינמן (שם מחשב je054698 קיים בOU נכון, גם המשתמש בOU נכון)לא קיבלה את מסך הנעילה הארגוני החדש, אשמח אם תוכלו לבדוק למה ולוודא שהיא מקבלת אותו. בנוסף, יכול להיו...",צוות תשתיות/סיסטם
"נושא: איחזור תיקייה שלום רב,  בתיקיית שיתוף הקבצים בכונן G הייתה עד לא מזמן תיקיה של נופר עזר (שבינתיים עזבה את המינהל, לפני שבוע ומשהו) אשמח לאחזור הקבצים שהיו שמורים בתיקייה.  ",7878 מרכז שירות ותמיכה טכנולוגית
 נא לשנות באאוטלוק את המייל של אילת איצקוביץ  למייל המופיע מטה  office@ipmo.co.il  ,צוות טכנאים
"נושא: קריאה היי,  מבקש הרשאת עריכה בכונן W. תודה  בברכה,  [cid:image011.png 01D5627F.46ED1990] אליהו פנחסוב רש''צ תמיכה אפליקטיבית אגף בכיר טכנולוגיות דיגיטליות ומידע עם ועולמו 8, ירושלים   074-757...",צוות תשתיות/סיסטם
"נושא: שלום, קריאות, כי גם אי אפשר לפתוח דרך הקישור שלום,    1.  לא שומעים את הדוברים מטלפונים שמתקשרים מקווי חוץ (בדקתי במספר עמדות)   2.  המחשב שלי מראה סימניי נפילות, גם בפתיחת כרום.   3.  המסך פ...",7878 מרכז שירות ותמיכה טכנולוגית
"היי, באכיפה במחוז דרום ישנה מדפסת net_25 שלא פעילה עקב תקלה.  המדפסת מראה שגיאה ""קופסת התחזוקה שלך זקוקה להחלפה - החלף אותה"" מספר מוצר: T6716 דיברתי עם דודו לגבי התקלה והוא ביקש שנפתח תקלה",צוות טכנאים
"נושא: 423-0417303 - בקשה לשינוי סוג התכנית בוקר טוב,   אשמח אם תוכלו לשנות את סוג התכנית שבנדון מ""תכנית מפורטת"" ל""תכנית מתאר מקומית"".   תודה מראש, [סיון] בקרו אותנו באתר - http://www.iplan.gov.il<h...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בוקר טוב...יש בעיה עם הטלפונים...?? הרחבה של הטלפון - לא עובדת , יש כאן כבל מנותק לא יודעת למה זה שייך  - הטלפון עצמו עובד  ניסינו לעשות ריסטרט לטלפון לנתק וחבר את הכבלי רשת ועדיין ההרחבה לא ...",צוות טכנאים
נושא: לא זוכרת איך מכניסים איש קשר חדש...לספר כתובות חיצוני    [cid:image001.jpg 01D7BE8F.270E2C40] הוועדה המחוזית לתכנון ולבניה מחוז תל-אביב<https://www.gov.il/he/departments/topics/district_commi...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: שלומי הייזלר להוסיף טלפון במשרד 073-3320185    בברכה,  [חתימה למייל] בקרו אותנו באתר - http://www.iplan.gov.il<http://www.iplan.gov.il/Pages/HomePage.aspx>  ",צוות טכנאים
אבקש להכניס לספר כתובות חיצוני - גיא מזרחי פארק אריאל שרון - gay@parksharon.co.il...וכדי שאוכל להכניס אותו לקבוצה שאני מנהלת..תודה...,צוות טכנאים
"נושא: קריאה חדשה על ציוד שניזוק   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il שלום רב,  נפתח טופס קריאה חדשה על ציוד שניזוק<http://ishare/forms/Lists/List10/DispForm.aspx?ID=18>.  נדרש למלא ...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: קריאה חדשה על ציוד שניזוק   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il שלום רב,  נפתח טופס קריאה חדשה על ציוד שניזוק<http://ishare/forms/Lists/List10/DispForm.aspx?ID=18>.  נדרש למלא ...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: קריאה חדשה על ציוד שניזוק   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il שלום רב,  נפתח טופס קריאה חדשה על ציוד שניזוק<http://ishare/forms/Lists/List10/DispForm.aspx?ID=18>.  נדרש למלא ...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: כניסה למחשב ללא כרטיס עובד- יעל הויזמן שלום רב,  בתאריך 13.10.2021 (יום רביעי הקרוב) יש לנו ישיבת ממיינת הולחוף ועל כן אני אצטרך שתאפשרו לי להיכנס למשתמש שלי במחשב ללא כרטיס חכם. הישיבה תתקיי...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: בהול בהול בהול- 2 מחשבים שהסתיים הסרטיפיקט בהם - חברת הניהול שוחחה עם דודו וזאת בעיה שאתם אמורים לפתור ולא חברת הניהול ולפיכך אודה לטיפולכם בדחיפות-  2 עובדים יושבים בחוסר מעש שלא לצורך. תודה...,צוות טכנאים
"נושא: העברת מפתח לעריכה בתכנית 212-0580944 שלום, יש תקלה במעקב ובקרה ולא מצליחים להעביר מפתח לעורך ולפתוח את התכנית לעריכה. בבקשה לטיפולכם. ",צוות הדרכה והטמעה אפליקטיבי
נושא: לא ניתן לפתוח אירוע מקבלי כל הנראה בשל סגירת אירוע 1030 אודה לפתיחת השלב  תכנית מס : 261-0931832,צוות הדרכה והטמעה אפליקטיבי
נושא: New case opened in Bynet Data Communication: CS0169063   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb40b18ab29a...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: פתיחת JPG היי לא ניתן יותר לפתוח תמונות בעזרת windows photo viewer היה זמין עד לפני שעה. אשמח אם תסייעו ותגדירו אותה כברירת מחדל. נמצאת בטרמינל 10 ניסינו לבדוק במאפיינים ולשנות את הברירת מחדל...,צוות טכנאים
בקשה להרשאות במרכבה,צוות טכנאים
נושא: Case CS0169063 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id6b199927db8dfb4...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Femi Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""Resolve"" with ""1"" argument(s): ""Error transferring file '/Haifa/SMP-352-1A-F8-FB_202104...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Femi Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""Resolve"" with ""1"" argument(s): ""Error transferring file '/Haifa/SMP-352-1A-F8-FB_202104...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: 414-0644799 - מבקשת להחזיר מהפרה רולינג לתנאי סף. תודה  ,צוות הדרכה והטמעה אפליקטיבי
"נושא: נא להעביר מפתח לועדה המקומית - באישור אלי נא להעביר למנחם לביצוע תוכנית ירושלים 102-0872747 מגרש 9. ידע מניבים בע""מ 4000 הודעות ועדה מקומית תוכנית ירושלים 102-0819144 תוספת זכויות בניה - רח' ...",צוות הדרכה והטמעה אפליקטיבי
"נושא: בטריות עבור עכבר המחשב שלום רב,  אבקש לקבל 2 בטריות עבור העכבר של המחשב.  תודה  בברכה, [cid:image003.jpg 01D7BEA9.C57182A0] נא לחשוב על הסביבה לפני שתדפיסו את המייל Please do not print me, un...",צוות טכנאים
נושא: נא להעיבר את המפתח של התכניות לסמכות מקומית - באישור אלי פנחסוב - לטיפול של מנחם  תוכנית ירושלים 151-0304873 שינוי קווי בניין במושב בית נקופה 103 והוראות לשימור מבנה קיים 2850 טיפול בפרסום הפ...,צוות הדרכה והטמעה אפליקטיבי
נושא: אבקש שלסהר עוזרי ואשר חיים רביעי תהיה גישה לתקיה שנקראת בהאוטלוק סריקות ועדה arr193 arr193@iplan.gov.il   ,צוות טכנאים
"נושא: רותם שמואלי - בקשה לפתיחת יוזר למחשב היי, אודה לפתיחת יוזר למחשב עבור הסטודנטית רותם שמואלי. ממונה - שחר סולר  אגף:אגף תכנון אסטרטגי  מחוז : מטה הרשאות כמו עובד קיים :אמיר קהל  ",צוות טכנאים
"נושא: הסרה מרשימת תפוצה במייל שלום, נא להסיר את חברי ועדה מחוזית ירושלים ""חבר תרגומים הקלטה ותמלול""   חברי ועדה ירושלים מצומצם   ""חבר תרגומים הקלטה ותמלול""  ",7878 מרכז שירות ותמיכה טכנולוגית
"הי מותק מסתבר שחסרה לליאור הרשאה ל""גיוס-ועדת בוחנים"". קוד תפקיד : ZH010 אודה לקבלת הרשאה עבורה??  ",צוות טכנאים
"נושא: ORS Recordings Error Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""CompareDirectories"" with ""4"" argument(s): ""Error listing directory '/'....",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Femi Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""CompareDirectories"" with ""4"" argument(s): ""Error listing directory '/ARAR'. 404 Not Fou...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Femi Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""CompareDirectories"" with ""4"" argument(s): ""Error listing directory '/Arar'. 404 Not Fou...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Femi Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""CompareDirectories"" with ""4"" argument(s): ""Error listing directory '/Arar'. 404 Not Fou...",7878 מרכז שירות ותמיכה טכנולוגית
רשימת תכניות שיש להסיר את אחריותו של איתי מהן. 102-0872747 102-0819144 102-0805275 101-0459743 102-0714261 102-0815423 102-0858381 102-0788935 102-0813345 102-0778720 102-0616243 101-0381756 102-07...,צוות הדרכה והטמעה אפליקטיבי
נושא: יש סיבה שהתיקייה שלי בשיתוף קבצים לא קיימת? ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא:  הערות לטמפלט/תבנית מסמך  חוות דעת אגף משולב - במאור שלום לכם,  נודה לעדכונים של תבנית מסמך חוות הדעת של אגף משולב (וורד) במאור  כדלקמן:     1.  נדרש להוסיף - ציון התאריך ומספר חוות הדעת בחלק...",צוות הדרכה והטמעה אפליקטיבי
"נושא: Femi Recordings Error Report   נשלח מ- Prod-Orc01@iplan.gov.il   מכתובת מייל: Prod-Orc01@iplan.gov.il Exception calling ""CompareDirectories"" with ""4"" argument(s): ""Error listing directory '/L...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא:  302-0583542 - לדרישה 6606 - לא משוייך נוסח פרסום בוקר טוב, בתכנית הזאת משוייך מסמך שאינו נוסח הפרסום, מבקש לקשר לדרישה 6606 נוסח פרסום. ",צוות הדרכה והטמעה אפליקטיבי
נושא: לא מצליחה להכנס םמשרד  ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: הצלחתי להכנס. קבלו ביטול על הקריאה   [cid:image001.jpg 01D7BF3A.273A4EA0]  ,7878 מרכז שירות ותמיכה טכנולוגית
יש לתת הרשאות לרמה של בודק בחשבות כמו שהיו אצל משה ביבי,צוות טכנאים
נושא: מדפסת לא מדפיסה מסמך וורד בצבע ,צוות טכנאים
"לקוח מלין כי בתכנית 302-0583542 מנסה להפיק נוסח פרסום בדבר אישור תיקון טעות סופר, ומקבל טופס שונה לגמרי.",צוות הדרכה והטמעה אפליקטיבי
" ביקשה לחזור בשעה 12 נושא: פורטל עובדים / מערכת נוכחות הי, אני לא מצליחה להכנס למערכת הנוכחות או לפתוח קריאה דרך הפורטל:",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בוקר טוב, צריכה עזרה עם חתימה סרוקה.תודה  ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: הססמא שלי נחסמה Aa1234567  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בוקר טוב, אבקש לדעת האם הכנסתם את גיא מזרחי לספר כתובות חיצוני כמו שביקשתי אתמול..????????????    [cid:image001.jpg 01D7BF4B.4F08FB00] הוועדה המחוזית לתכנון ולבניה מחוז תל-אביב<https://www.go...",7878 מרכז שירות ותמיכה טכנולוגית
נא להוסיף איש קשר באאוטלוק:  יוראי מצלאוי  טלפון: 0508860651 מייל: yorayma@moin.gov.il  ,צוות טכנאים
"נושא: 101-0579615  מנחם שלום וברכה, בתכנית הנ""ל לא ניתן לראות את מסמכי התכנית החתומים לאישור ובמערכת מעקב ובקרה הם מופיעים כחתומים אשמח לבדיקתך וטיפולך  תודה  [cid:image011.png 01D5627F.46ED1990] פ...",צוות הדרכה והטמעה אפליקטיבי
"נושא: תקלה בסורק בוקר טוב,  לא מצליחה לסרוק למרכבה  מצ""ב צילום מסך סורק אישי  ",צוות טכנאים
"נושא: 101-0646109 מנחם שלום וברכה, כנ""ל בתכנית הזאת - לא ניתן לראות את מסמכי התכנית החתומים לאישור ובמערכת מעקב ובקרה הם מופיעים כחתומים אשמח לבדיקתך וטיפולך  [cid:image011.png 01D5627F.46ED1990] פ...",צוות הדרכה והטמעה אפליקטיבי
"נושא: מחיקת אירוע כפול שלום רב  יש למחוק אירוע 1040 מתאריך 12/10/2021 (כפילות)  [cid:image001.png 01D7BF52.16E3F2A0]  בברכה,  [cid:image001.png 01D709F8.DCE84D30]   בקרו אותנו באתר - http://www.ipl...",צוות הדרכה והטמעה אפליקטיבי
נושא: שוב מעיף אותי מהמחשב- לא מצליחה להתחבר  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: מערכת הגברה / זום - אולם ערבה 19/10/21 שלום רב,  ביום 19/10/21 יש דיון במועצה הארצית, כאשר הדיון מתקיים פיזי. אבקש:    1.  בדיקה של כל המיקרופונים באולם – שבוע שעבר 2 שבצד של ליד הדלת לקראת ל...",צוות טכנאים
נושא: אפשר לעדכן שוב את הפורטל. לקחת את הססמא מאשר וקנין  ,צוות תשתיות/סיסטם
"נושא: תקלה שלום.  לאחר שהנפקנו נוסח לתכנית מס' 505-0464347 מדרישה מס' 8050 (הודעה מתוקנת) באתר האינטרנט של מנהל התכנון מופיע ""פרסום תכנית לביטול הפקדה"" במקום ""הודעה מתוקנת"" אשמח לדעת איך אפשר לטפל ...",צוות הדרכה והטמעה אפליקטיבי
נושא: הגדלת כונן C שלום עברתי מחשב ואני מעוניינת בהגדלת כונן C ל 150 GB (זה הגודל שהיה לי במחשב הקודם) כרגע אין כמעט מקום פנוי בכונן C [cid:image001.png 01D7BF60.5FE97520]  תודה רות בן שושן 0527646...,צוות טכנאים
"נושא: תיוק מאאוטלוק שלום רב,  מזה שבועיים אני שוב לא מצליחה לתייק מסמכים מאוטלוק  זה משבש לי את כל העבודה.  לטיפולכם הדחוף  [cid:image001.png 01D7BF63.1FB19C00] בברכה,  [cid:image001.png 01D709F8.D...",צוות טכנאים
"נושא: הרשאה ליומן שלום, מבקשת לתת הרשאת קריאה וכתיבה ליומן שלי לטליה קטיעי. ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: CPU גבוה שלום  עברתי למחשב חדש – rz056342 ה CPU במחשב בתפוסה גבוהה גם ללא פעילות  ולאחר ביצוע ריסטרט. (מגיע גם ל 30-40%)  [cid:image001.png 01D7BF64.23F20F60]  זה מאט מאד את כל הפעילות במחשב....,צוות טכנאים
נושא: מדפסת תקולה Q136 בחדר 421  net_136q ip: 10.53.3.136,צוות טכנאים
נושא: איטיות מטורפת והתנתקויות רבות  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: שלום, נא, לשנות את סוג התכנית מס' 410-0671214 מ""תכנית מפורטת"" ל""תכנית מתאר מקומית"". תודה    בברכה,  [cid:image001.png 01D7BF67.38D15AA0]  בקרו אותנו באתר מנהל התכנון<https://www.gov.il/he/dep...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: RE: מערכת הגברה / זום - אולם ערבה 19/10/21 היי אלון צהריים טובים  יהיה טכנאי כמו שתמיד יש בעת ישיבת המועצה הארצית- מועדי הוועדות רשומים אצלי תמיד ואנחנו נערכים להם בהתאם  אין צורך לפתוח קריאה...,7878 מרכז שירות ותמיכה טכנולוגית
